open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,EMA50,EMA200,VWAP,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,KCLe_20_1.0,KCBe_20_1.0,KCUe_20_1.0,OBV,CMF
2022-08-20,83.4,86.9,79.9,82.8,152743.549,2022-08-20 23:59:59.999,12768527.21480000,43665,77572.37400000,6490718.42570000,0,,,83.2,,,,,,,,,,,,,,152743.549,
2022-08-21,82.9,87.1,81.7,86.0,114088.526,2022-08-21 23:59:59.999,9655311.43050000,34331,58766.69700000,4978259.82570000,0,,,84.93333333333334,,,,,,,,,,,,,,266832.075,
2022-08-22,85.9,88.7,81.9,88.4,190616.581,2022-08-22 23:59:59.999,16231749.93950000,54265,94477.59100000,8054395.94160000,0,,,86.33333333333333,,,,,,,,,,,,,,457448.656,
2022-08-23,88.5,91.2,85.1,89.4,167019.009,2022-08-23 23:59:59.999,14801085.65640000,46070,80899.70900000,7171330.48100000,0,,,88.56666666666668,,,,,,,,,,,,,,624467.665,
2022-08-24,89.5,91.9,86.8,88.5,114060.905,2022-08-24 23:59:59.999,10183074.46960000,38581,57486.58000000,5132080.10420000,0,,,89.06666666666665,,,,,,,,,,,,,,510406.76,
2022-08-25,88.5,95.8,87.7,93.2,180095.58,2022-08-25 23:59:59.999,16506225.20730000,51248,86556.57000000,7924363.49080000,0,,,92.23333333333333,,,,,,,,,,,,,,690502.34,
2022-08-26,93.2,94.2,81.8,82.8,221902.31,2022-08-26 23:59:59.999,19804881.28460000,58350,106957.50400000,9556192.49930000,0,,,86.26666666666667,,,,,,,,,,,,,,468600.02999999997,
2022-08-27,82.7,83.6,80.4,82.0,129020.116,2022-08-27 23:59:59.999,10576130.81290000,26703,63611.68800000,5216381.96090000,0,,,82.0,,,,,,,,,,,,,,339579.914,
2022-08-28,82.1,83.6,78.2,78.6,103340.6,2022-08-28 23:59:59.999,8403435.31550000,23477,48654.98000000,3954811.34220000,0,,,80.13333333333334,,,,,,,,,,,,,,236239.31399999998,
2022-08-29,78.6,86.2,78.0,85.8,111809.624,2022-08-29 23:59:59.999,9225041.38450000,29169,58196.93400000,4813719.66660000,0,,,83.33333333333333,,,,,,,,,,,,,,348048.93799999997,
2022-08-30,85.7,88.1,81.4,84.5,155436.215,2022-08-30 23:59:59.999,13245420.09840000,40835,75607.54900000,6445284.83690000,0,,,84.66666666666667,,,,,,,,,,,,,,192612.72299999997,
2022-08-31,84.5,88.8,84.3,84.8,136119.452,2022-08-31 23:59:59.999,11787944.65280000,36552,66769.54800000,5788998.44570000,0,,,85.96666666666665,,,,,,,,,,,,,,328732.17499999993,
2022-09-01,84.8,87.0,82.0,86.4,100488.442,2022-09-01 23:59:59.999,8462463.14110000,27042,49905.49100000,4206782.34060000,0,,,85.13333333333334,,,,,,,,,,,,,,429220.6169999999,
2022-09-02,86.5,92.1,84.8,88.4,148802.317,2022-09-02 23:59:59.999,13132619.55270000,41490,73982.43600000,6517472.48760000,0,,,88.43333333333332,,,,,,,,,,,,,,578022.9339999999,
2022-09-03,88.3,88.7,85.7,87.1,58850.791,2022-09-03 23:59:59.999,5120374.35780000,16045,30085.00100000,2617405.97010000,0,,,87.16666666666667,,,,,,,,,,,,,,519172.1429999999,
2022-09-04,87.2,89.0,85.8,88.8,53304.276,2022-09-04 23:59:59.999,4681064.90920000,14337,26590.51600000,2335018.22550000,0,,,87.86666666666667,,,,,,,,,,,,,,572476.4189999999,
2022-09-05,88.9,91.8,86.7,91.1,72817.196,2022-09-05 23:59:59.999,6480055.50110000,21366,34540.82400000,3075382.01890000,0,,,89.86666666666667,,,,,,,,,,,,,,645293.6149999999,
2022-09-06,91.2,93.8,83.0,83.6,176542.931,2022-09-06 23:59:59.999,15839433.28370000,47350,88694.30500000,7946153.35020000,0,,,86.8,,,,,,,,,,,,,,468750.6839999999,
2022-09-07,83.6,89.3,82.0,87.5,121689.189,2022-09-07 23:59:59.999,10304849.53740000,29400,64147.19600000,5428505.91740000,0,,,86.26666666666667,,,,,,,,,,,,,,590439.8729999999,
2022-09-08,87.5,90.0,85.5,88.2,91022.421,2022-09-08 23:59:59.999,7983694.44660000,28587,43846.74200000,3851650.26670000,0,,,87.89999999999999,,,,,,79.7453458736563,86.395,93.04465412634369,15.393608718892741,0.6357213447274802,,86.395,,681462.2939999999,0.04317785186807591
2022-09-09,88.3,94.1,88.2,91.2,116375.442,2022-09-09 23:59:59.999,10610747.99410000,35718,62963.46000000,5740393.55720000,0,,,91.16666666666667,,,,,,80.06628901196684,86.815,93.56371098803315,15.547338565992407,0.8248768548375762,80.65261904761904,86.85261904761904,93.05261904761905,797837.7359999999,0.05477469510544936
2022-09-10,91.2,94.0,89.7,92.7,115100.573,2022-09-10 23:59:59.999,10535083.61170000,32357,56968.18400000,5220283.79380000,0,,,92.13333333333333,,,,,,79.94652861461975,87.15,94.35347138538026,16.531202261343097,0.8852309326350594,81.3904648526077,87.40951247165532,93.42856009070293,912938.3089999999,0.04613390132768432
2022-09-11,92.7,94.5,89.2,91.6,148221.062,2022-09-11 23:59:59.999,13640419.81090000,34683,71559.59600000,6587475.09350000,0,,,91.76666666666665,,,,,,79.86449128668778,87.30999999999999,94.7555087133122,17.055340083179956,0.7880931421334377,81.85803962854982,87.80860652197386,93.7591734153979,764717.2469999999,-0.027547050215079104
2022-09-12,91.5,97.0,89.3,90.9,213336.765,2022-09-12 23:59:59.999,19708784.93100000,60830,108951.48000000,10069607.39130000,0,,,92.40000000000002,,,,,,79.82741440670371,87.38499999999999,94.94258559329627,17.29721483846491,0.7325478128304551,81.98584537821175,88.10302494845254,94.22020451869334,551380.4819999998,-0.10224592555940565
2022-09-13,91.0,93.8,82.3,83.0,422344.918,2022-09-13 23:59:59.999,37469478.54010000,87011,205696.72900000,18273234.31670000,0,,,86.36666666666667,,,,,,79.33751005146955,87.10999999999999,94.88248994853042,17.845230050580728,0.23560596236106593,80.98719343742968,87.61702257240944,94.2468517073892,129035.56399999984,-0.2070174650670126
2022-09-14,82.9,86.0,81.1,83.7,192224.332,2022-09-14 23:59:59.999,16049458.97740000,40727,108418.87000000,9050483.23980000,0,,,83.60000000000001,,,,,,79.2582053031142,86.63499999999999,94.01179469688579,17.0295947293491,0.30106535964468184,80.77888930053162,87.24397280360854,93.70905630668547,321259.89599999983,-0.22439487126758034
2022-09-15,83.7,84.2,77.7,78.5,214634.37,2022-09-15 23:59:59.999,17292306.32790000,49392,105657.43100000,8523707.05340000,0,,,80.13333333333335,,,,,,78.38716737383342,86.41999999999999,94.45283262616655,18.590216677080694,0.007023215310065855,79.94280460524288,86.41121348897916,92.87962237271543,106625.52599999984,-0.21652411597942384
2022-09-16,78.6,80.5,77.2,79.3,129579.455,2022-09-16 23:59:59.999,10194950.59780000,33053,67562.75800000,5317787.31410000,0,,,79.0,,,,,,77.87755686905949,86.285,94.6924431309405,19.487612287049913,0.08459427609481698,79.56729940474357,85.73395506145734,91.90061071817111,236204.98099999985,-0.20421999904096458
2022-09-17,79.4,81.7,79.1,81.4,54439.15,2022-09-17 23:59:59.999,4369319.34120000,13895,27242.76800000,2186921.43610000,0,,,80.73333333333335,,,,,,78.45207707299278,86.425,94.39792292700722,18.450501422058938,0.18487090330583336,79.49422327095847,85.32119743655664,91.14817160215482,290644.1309999999,-0.16189221350554103
2022-09-18,81.4,82.0,70.7,73.0,133739.125,2022-09-18 23:59:59.999,10311444.54660000,34393,58777.83500000,4514344.94110000,0,,,75.23333333333333,,,,9.79149098042839,,75.89070366322082,85.785,95.67929633677917,23.067660632462967,-0.14607929481935295,77.799535340391,84.14775006164649,90.49596478290198,156905.00599999988,-0.2237638662187106
2022-09-19,73.1,77.0,70.7,76.4,159042.066,2022-09-19 23:59:59.999,11704424.12020000,39375,78547.19100000,5783395.45080000,0,,,74.7,,,,14.725174828022054,,74.67829920059474,85.38000000000001,96.08170079940528,25.068401966280796,0.08044052210378325,77.06624626035376,83.40986910339444,89.75349194643512,315947.07199999987,-0.17438611193094888
2022-09-20,76.3,77.2,73.7,74.0,95897.764,2022-09-20 23:59:59.999,7222714.22470000,25404,42418.36300000,3196925.58610000,0,,,74.96666666666667,,,,10.76152524508614,11.75939701784553,73.04196626551732,84.84,96.63803373448269,27.812432188785213,0.04060141528848961,76.4408894736534,82.51369109354735,88.5864927134413,220049.30799999987,-0.16750345799090285
2022-09-21,74.1,79.6,70.4,71.6,171833.493,2022-09-21 23:59:59.999,12965610.97700000,50509,87078.27500000,6571815.87880000,0,,,73.86666666666666,,,,11.254471439810594,12.24705717097293,71.00129777420675,84.1,97.19870222579324,31.15030255836682,0.02285349401310593,75.10366190473403,81.47429194178093,87.84492197882784,48215.814999999886,-0.23374617172750842
2022-09-22,71.6,77.7,71.5,76.7,96991.203,2022-09-22 23:59:59.999,7281859.20810000,28389,51483.26700000,3866413.30450000,0,,,75.3,-2.930479508877937,-1.7701168855735905,-1.1603626233043467,15.109589419024353,12.375195367973696,70.1935473765058,83.515,96.8364526234942,31.901940067039924,0.24420957711545596,74.66521791380697,81.01959747113513,87.37397702846329,145207.01799999987,-0.21414373313813942
2022-09-23,76.7,78.8,72.8,77.1,89220.265,2022-09-23 23:59:59.999,6746734.15610000,28062,44177.32100000,3341633.05870000,0,,,76.23333333333333,-2.865712879654936,-1.3642802050804712,-1.5014326745744646,23.081835414213117,16.481965424349355,69.51977491851284,83.015,96.51022508148716,32.51273885800678,0.2808484125205795,74.32567335058727,80.64630247388416,86.96693159718106,234427.28299999988,-0.19702977186406545
2022-09-24,77.0,77.4,74.6,75.0,48703.744,2022-09-24 23:59:59.999,3723028.61990000,15413,22118.04300000,1691544.55400000,0,,,75.66666666666667,-2.949833464968492,-1.158720632315222,-1.7911128326532701,31.609455902886427,23.266960245374634,68.67320524619575,82.325,95.97679475380426,33.16561130593198,0.23172025612387726,74.12322826957895,80.10855938113329,86.09389049268763,185723.53899999987,-0.22578085514505103
2022-09-25,74.9,77.6,72.7,73.6,46457.151,2022-09-25 23:59:59.999,3498191.68360000,16825,22825.57000000,1718731.23530000,0,,,74.63333333333334,-3.093804482351274,-1.0421533197584032,-2.051651162592871,27.72132967755762,27.470873664885726,67.91729886534111,81.45,94.9827011346589,33.229468716166714,0.20996182056015394,73.60673033914286,79.48869658293012,85.37066282671738,139266.38799999986,-0.25685548560056815
2022-09-26,73.6,76.6,72.6,76.2,92569.996,2022-09-26 23:59:59.999,6916875.58890000,26859,47765.89400000,3572164.57640000,0,,,75.13333333333333,-2.9639378494477313,-0.7298293494838886,-2.2341084999638428,42.615169959148965,33.981985179864346,67.39883045935062,81.08000000000001,94.7611695406494,33.747334831399584,0.3216526743016893,73.47275602112926,79.17548738455582,84.87821874798239,231836.38399999985,-0.18079954474952045
2022-09-27,76.2,80.9,74.6,76.6,112577.46,2022-09-27 23:59:59.999,8800668.90910000,37238,54889.82100000,4291130.38960000,0,,,77.36666666666667,-2.7965045860680675,-0.4499168688833799,-2.3465877171846876,62.12481717280539,44.15377226983733,67.05326791543438,80.535,94.01673208456562,33.48042983687992,0.3540617787344649,73.1705887810217,78.93020287174099,84.68981696246027,344413.84399999987,-0.21885106132057985
2022-09-28,76.7,78.1,73.0,76.8,126074.5,2022-09-28 23:59:59.999,9531435.58870000,34016,62177.59800000,4706589.98990000,0,,,75.96666666666665,-2.6175012647755267,-0.21673083807267135,-2.4007704267028553,88.43845335395987,64.39281349530475,66.86930986927376,79.965,93.06069013072624,32.75355500713122,0.37915871678369933,73.0305327066387,78.72732640776566,84.42412010889262,470488.34399999987,-0.2004051335871881
2022-09-29,76.9,77.6,74.3,76.9,62809.833,2022-09-29 23:59:59.999,4784467.97210000,22280,29586.27000000,2253618.85410000,0,,,76.26666666666667,-2.439450215161415,-0.03094383076684748,-2.4085063843945673,95.19688056372087,81.92005036349538,67.16339584498594,79.25,91.33660415501406,30.50247105366324,0.4027849357081364,73.08476768695883,78.5532953213118,84.02182295566476,533298.1769999999,-0.191799963393044
2022-09-30,77.0,78.0,73.7,74.6,87081.019,2022-09-30 23:59:59.999,6618040.34480000,26694,43817.17900000,3330108.43830000,0,,,75.43333333333332,-2.455627310590117,-0.03769674095643971,-2.4179305696336773,88.05984411965824,90.56505934577967,67.81153428353213,78.345,88.87846571646787,26.88995013457878,0.3222332468341771,72.81955171677228,78.17679100499639,83.5340302932205,446217.15799999994,-0.22942631327314458
2022-10-01,74.6,76.1,73.9,74.5,60557.732,2022-10-01 23:59:59.999,4545283.13710000,12500,36189.03200000,2716032.49740000,0,,,74.83333333333333,-2.4482945242668563,-0.024291163706543273,-2.424003360560313,75.60203060817754,86.28625176385223,68.78094723864827,77.49,86.19905276135172,22.47787523900304,0.3283395403648974,72.77007060088921,77.82662043309197,82.88317026529474,385659.4259999999,-0.24232053665794506
2022-10-02,74.5,75.9,72.1,72.6,90772.121,2022-10-02 23:59:59.999,6735861.23530000,19156,42171.99300000,3133039.82690000,0,,,73.53333333333333,-2.566215623024789,-0.11376980997158048,-2.4524458130532083,52.40508967619272,72.02232146800951,70.14728656519196,76.57499999999999,83.00271343480802,16.78802072427823,0.19079206468087406,72.39196863889975,77.32884705851178,82.26572547812381,294887.30499999993,-0.23102722292738004
2022-10-03,72.6,76.2,71.8,75.5,69920.296,2022-10-03 23:59:59.999,5220559.92960000,21104,35198.66900000,2629251.88470000,0,,,74.5,-2.3980202944388367,0.04354041489149729,-2.441560709330334,62.7298101519292,63.57897681209983,70.47916090070606,76.19999999999999,81.92083909929391,15.015325719931566,0.43882016362893483,72.26892400662359,77.15467114817733,82.04041828973106,364807.6009999999,-0.07310567244484092
2022-10-04,75.6,79.8,75.5,78.9,67929.104,2022-10-04 23:59:59.999,5285874.30450000,22487,34281.73700000,2668281.92440000,0,,,78.06666666666668,-1.9676903897696292,0.37909625564856375,-2.346786645418193,75.1876236634099,63.44084116384395,71.19496065073871,75.96,80.72503934926128,12.546180487786431,0.8084969277804384,72.49093124408802,77.32089294358902,82.15085464309001,432736.7049999999,-0.06383679160621639
